Datetime,Acreage,TotalFloor,TotalBedroom,TotalBathroom,HouseUtilities,HouseMinusPoint,RoomMultipurpose,OuterUtilities,HouseType,City,District,Price,million/m2,Longitude,Latitude
2023,130.0,1,7.0,6.0,4,0,4,4,Bán Nhà riêng,TP Hồ Chí Minh,Quận 12,9.2,70.76923076923077,106.66420925636413,10.861410750000001
2023,65.0,1,2.0,2.0,2,0,1,10,Bán Nhà riêng,Đà Nẵng,Ngũ Hành Sơn,2.9,44.61538461538461,108.26277454198583,16.00402
2023,90.0,10,5.0,4.0,5,0,4,10,Bán Nhà riêng,Hà Nội,Hai Bà Trưng,14.0,155.55555555555554,105.8552245,21.012198
2023,30.0,2,2.0,2.0,3,0,0,4,Bán Nhà riêng,TP Hồ Chí Minh,Gò Vấp,3.7,123.33333333333331,106.6403038,10.8440568
2023,38.0,9,3.0,3.0,5,0,0,9,Bán Nhà riêng,TP Hồ Chí Minh,Bình Thạnh,4.4,115.78947368421052,106.5878711,10.8041602
2023,45.0,2,2.0,2.0,0,0,0,3,Bán Nhà riêng,TP Hồ Chí Minh,Tân Phú,3.9,86.66666666666667,106.7261695,10.727068
2023,45.0,2,2.0,2.0,0,0,0,3,Bán Nhà riêng,TP Hồ Chí Minh,Tân Phú,3.9,86.66666666666667,106.7261695,10.727068
2023,51.0,11,4.0,5.0,7,0,3,4,Bán Nhà riêng,TP Hồ Chí Minh,Gò Vấp,12.7,249.0196078431373,106.6403038,10.8440568
2023,50.0,8,4.0,3.0,4,1,1,9,Bán Nhà mặt phố,Hà Nội,Đống Đa,25.0,500.0,105.77366865,21.075303599999998
2023,160.0,1,3.0,3.0,0,0,0,2,Bán Nhà mặt phố,Cà Mau,Cà Mau,4.5,28.125,105.1519707,9.1782047
2023,48.0,4,4.0,5.0,3,0,2,7,Bán Nhà riêng,TP Hồ Chí Minh,Gò Vấp,7.4,154.16666666666666,106.6403038,10.8440568
2023,128.0,1,3.0,2.0,3,0,2,2,Bán Nhà riêng,Đồng Nai,Vĩnh Cửu,1.08,8.4375,107.05314571946911,11.242703899999999
2023,76.0,4,4.0,2.0,2,1,0,6,Bán Nhà mặt phố,TP Hồ Chí Minh,Bình Tân,7.5,98.6842105263158,106.65227606400094,10.8030656
2023,75.0,4,3.0,3.0,2,0,0,4,Bán Nhà mặt phố,Bắc Ninh,Từ Sơn,3.65,48.66666666666666,105.9568611,21.113309
2023,85.0,3,3.0,3.0,2,0,0,9,Bán Nhà riêng,TP Hồ Chí Minh,Bình Tân,5.6,65.88235294117646,106.65227606400094,10.8030656
2023,48.0,8,4.0,3.0,1,0,3,0,Bán Nhà riêng,Hải Phòng,Hồng Bàng,3.15,65.625,106.64442867897043,20.8763328
2023,44.0,2,2.0,2.0,3,0,0,8,Bán Nhà riêng,TP Hồ Chí Minh,Bình Tân,3.57,81.13636363636364,106.65227606400094,10.8030656
2023,40.0,3,4.0,4.0,1,0,1,7,Bán Nhà riêng,TP Hồ Chí Minh,Bình Tân,4.65,116.25,106.65227606400094,10.8030656
2023,60.0,3,3.0,4.0,2,0,1,5,Bán Nhà mặt phố,TP Hồ Chí Minh,Bình Tân,4.8,80.0,106.65227606400094,10.8030656
2023,48.0,3,4.0,4.0,4,0,1,7,Bán Nhà riêng,TP Hồ Chí Minh,Bình Tân,5.1,106.25,106.65227606400094,10.8030656
2023,61.0,3,4.0,4.0,3,1,3,6,Bán Nhà riêng,Bình Dương,Thuận An,3.2,52.459016393442624,106.6990779,10.9035106
2023,52.0,7,4.0,5.0,4,0,3,13,Bán Nhà mặt phố,TP Hồ Chí Minh,Bình Tân,5.5,105.76923076923076,106.65227606400094,10.8030656
2023,18.0,5,2.0,3.0,6,0,0,7,Bán Nhà riêng,TP Hồ Chí Minh,Bình Tân,2.2,122.22222222222224,106.65227606400094,10.8030656
2023,56.0,2,2.0,2.0,4,0,0,6,Bán Nhà riêng,TP Hồ Chí Minh,Bình Tân,4.5,80.35714285714286,106.65227606400094,10.8030656
2023,50.0,1,2.0,2.0,6,1,0,3,Bán Nhà riêng,Hà Nội,Hà Đông,3.15,63.0,105.7749566,20.9702189
2023,52.0,6,4.0,5.0,2,0,3,4,Bán Nhà riêng,TP Hồ Chí Minh,Gò Vấp,9.8,188.46153846153845,106.6403038,10.8440568
2023,105.0,6,5.0,2.0,1,0,1,4,Bán Nhà riêng,TP Hồ Chí Minh,Gò Vấp,8.0,76.19047619047619,106.6403038,10.8440568
2023,115.0,2,3.0,2.0,6,0,1,9,Bán Nhà mặt phố,Đà Nẵng,Sơn Trà,6.2,53.91304347826087,108.2647075,16.12049
2023,48.0,10,4.0,5.0,10,0,4,6,Bán Nhà riêng,Hải Phòng,Hồng Bàng,5.9,122.91666666666669,106.64442867897043,20.8763328
2023,36.0,1,3.0,2.0,6,0,1,3,Bán Nhà riêng,Hà Nội,Long Biên,3.4,94.44444444444444,105.8921527,21.0257066
2023,50.2056171306037,3,3.0,3.0,3,0,1,0,Bán Nhà riêng,TP Hồ Chí Minh,Tân Bình,5.5,109.54949494381138,106.66523106900442,10.797672200000001
2023,78.0,12,4.0,4.0,4,0,3,2,Bán Nhà riêng,Hải Phòng,Hồng Bàng,13.2,169.23076923076923,106.64442867897043,20.8763328
2023,56.0,2,2.0,2.0,2,0,0,3,Bán Nhà mặt phố,TP Hồ Chí Minh,Thủ Đức,4.7,83.92857142857143,106.7617899,10.8298295
2023,36.0,2,2.0,2.0,1,0,0,6,Bán Nhà riêng,TP Hồ Chí Minh,Bình Tân,3.45,95.83333333333331,106.65227606400094,10.8030656
2023,50.0,3,3.0,3.0,1,0,0,7,Bán Nhà riêng,TP Hồ Chí Minh,Bình Tân,5.5,110.0,106.65227606400094,10.8030656
2023,106.0,4,3.0,2.0,1,0,1,5,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 9,4.9,46.22641509433962,106.7715507,10.8311346
2023,36.0,2,2.0,2.0,2,0,0,8,Bán Nhà riêng,TP Hồ Chí Minh,Bình Tân,3.5,97.22222222222224,106.65227606400094,10.8030656
2023,50.0,4,4.0,4.0,3,0,1,7,Bán Nhà riêng,TP Hồ Chí Minh,Bình Tân,5.9,118.0,106.65227606400094,10.8030656
